nan	5.822380	4.872727	4.508671	7.859238
4.353254	10.894309	24.375000	7.976190	5.853571
5.056604	3.913043	5.702128	9.233803	nan
nan	nan	2.971895	2.525919	2.857143
nan	2.575020	9.745455	3.817292	2.731906
3.368962	4.220472	2.546246	10.387597	3.517167
2.304385	8.327402	4.660870	3.063551	nan
2.117647	2.537879	4.027027	nan	nan
nan	nan	nan	1.165304	29.450549
nan	nan	1.432692	1.730148	5.638554
nan	2.160844	1.255269	3.357245	6.008969
4.296199	1.334661	1.344055	89.333333	9.130919
1.960497	0.995321	3.467012	8.405128	nan
1.044177	1.520136	30.924528	nan	nan
1.000000	5.170347	nan	nan	nan
nan	nan	nan	nan	1.000000
nan	nan	nan	3.958937	1.000000
nan	nan	172.526316	1.610577	1.000000
nan	13.112000	3.946981	1.027217	1.759685
14.129310	268.000000	1.500000	1.290323	3.582514
8.673139	3.946037	1.300971	1.935065	nan
8.478261	1.863700	1.365264	nan	nan
28.510638	1.145353	nan	nan	nan
1.000000	nan	nan	nan	nan
