[59.488, 164.274, 64.414, 331.186, 85.497, 102.467, 432.014]
[23.069, 58.996, 54.723, 64.217, 70.039, 73.166, 81.332]
[24.476, 60.733, 21.142, 64.813, 24.246, 41.629, 80.641]
[23.697, 60.009, 21.031, 61.661, 23.058, 42.94, 77.398]
[51.886, 22.104, 18.495, 52.449, 21.616, 37.972, 74.052]
[59.102, 24.396, 20.979, 62.911, 23.619, 45.136, 75.066]
[64.169, 26.892, 21.079, 67.52, 25.058, 43.749, 81.812]
[63.733, 24.888, 21.581, 63.158, 24.263, 45.455, 82.596]
[57.935, 23.816, 20.965, 60.239, 23.461, 41.301, 78.15]
[66.915, 27.634, 184.749, 57.174, 80.321, 22.608, 72.937]
[60.653, 24.644, 21.664, 63.964, 24.204, 43.292, 80.421]
[70.193, 28.954, 138.983, 93.788, 134.219, 33.126, 104.171]
[61.968, 24.021, 81.91, 42.848, 56.987, 63.633, 71.737]
[106.734, 23.482, 20.217, 36.491, 41.287, 31.999, 40.63]
[119.088, 24.605, 21.058, 39.246, 46.252, 34.332, 44.865]
[118.063, 23.76, 183.632, 54.509, 127.097, 42.427, 50.121]
[118.838, 25.291, 22.214, 39.697, 47.972, 36.611, 47.133]
[123.501, 26.203, 23.105, 41.098, 47.881, 37.274, 47.099]
[110.88, 24.984, 21.795, 38.824, 45.762, 34.861, 44.672]
[111.495, 23.494, 20.254, 36.416, 42.284, 31.458, 41.655]
[113.371, 24.65, 21.246, 37.496, 45.354, 34.746, 43.903]
[116.114, 24.473, 21.332, 38.22, 45.884, 34.63, 45.166]
[116.458, 25.54, 21.705, 37.9, 47.374, 35.422, 45.641]
[125.817, 26.364, 22.92, 40.899, 50.219, 38.375, 51.518]
[129.368, 26.454, 23.14, 41.786, 51.203, 37.884, 46.564]
[123.284, 26.019, 22.587, 39.757, 48.186, 35.614, 48.028]
[133.468, 27.516, 23.971, 41.232, 50.714, 38.162, 51.12]
[136.851, 27.744, 24.536, 44.093, 52.408, 38.024, 50.445]
[137.828, 29.562, 25.154, 43.919, 54.59, 40.424, 52.293]
[143.387, 29.679, 27.036, 45.798, 56.081, 43.538, 54.946]
[134.164, 28.912, 24.934, 43.58, 53.426, 40.85, 52.035]
[132.087, 27.766, 24.938, 41.95, 53.154, 41.394, 51.819]
[143.227, 30.8, 27.379, 47.614, 58.23, 43.424, 56.631]
[146.078, 29.279, 27.69, 47.483, 57.545, 44.293, 59.55]
[176.835, 37.344, 32.272, 57.67, 67.705, 52.272, 67.344]
[166.751, 35.739, 31.906, 53.025, 67.286, 49.646, 68.642]
[199.67, 44.305, 38.033, 61.124, 79.465, 60.271, 77.825]
[214.293, 43.113, 35.403, 60.836, 78.611, 59.047, 76.095]
[181.695, 38.802, 33.552, 57.845, 69.372, 53.269, 68.468]
