nan,2.826,5.816,-0.08839,1.565,3.169,4.687,6.045,-1.028,-0.03236,1.031,2.133,3.266,4.44,5.694,-1.03,0.6481,2.072,3.368,4.556,5.636,6.589,7.37,7.372,4.573,3.87,3.169,2.469,1.769
2.826,nan,2.99,-2.915,-1.262,0.3426,1.861,3.219,-3.854,-2.859,-1.795,-0.6935,0.4401,1.614,2.868,-3.856,-2.178,-0.754,0.5417,1.73,2.809,3.763,4.543,4.546,1.747,1.044,0.3427,-0.3578,-1.057
5.816,2.99,nan,-5.904,-4.251,-2.647,-1.129,0.2295,-6.844,-5.848,-4.785,-3.683,-2.55,-1.376,-0.1219,-6.846,-5.168,-3.744,-2.448,-1.26,-0.1804,0.7734,1.554,1.556,-1.243,-1.946,-2.647,-3.347,-4.047
-0.08839,-2.915,-5.904,nan,1.653,3.257,4.775,6.134,-0.9394,0.05604,1.119,2.221,3.355,4.528,5.782,-0.9418,0.7365,2.161,3.456,4.645,5.724,6.678,7.458,7.461,4.661,3.959,3.257,2.557,1.857
1.565,-1.262,-4.251,1.653,nan,1.604,3.122,4.481,-2.592,-1.597,-0.5338,0.5682,1.702,2.875,4.13,-2.595,-0.9165,0.5076,1.803,2.992,4.071,5.025,5.805,5.808,3.008,2.306,1.604,0.9039,0.2045
3.169,0.3426,-2.647,3.257,1.604,nan,1.518,2.877,-4.197,-3.201,-2.138,-1.036,0.09746,1.271,2.525,-4.199,-2.521,-1.097,0.199,1.387,2.467,3.42,4.201,4.203,1.404,0.7016,5.831e-05,-0.7004,-1.4
4.687,1.861,-1.129,4.775,3.122,1.518,nan,1.358,-5.715,-4.719,-3.656,-2.554,-1.421,-0.2471,1.007,-5.717,-4.039,-2.615,-1.319,-0.1309,0.9486,1.902,2.683,2.685,-0.114,-0.8165,-1.518,-2.218,-2.918
6.045,3.219,0.2295,6.134,4.481,2.877,1.358,nan,-7.073,-6.078,-5.015,-3.913,-2.779,-1.606,-0.3513,-7.076,-5.397,-3.973,-2.677,-1.489,-0.4099,0.5439,1.324,1.327,-1.472,-2.175,-2.876,-3.577,-4.276
-1.028,-3.854,-6.844,-0.9394,-2.592,-4.197,-5.715,-7.073,nan,0.9954,2.059,3.161,4.294,5.468,6.722,-0.002391,1.676,3.1,4.396,5.584,6.663,7.617,8.397,8.4,5.601,4.898,4.197,3.496,2.797
-0.03236,-2.859,-5.848,0.05604,-1.597,-3.201,-4.719,-6.078,0.9954,nan,1.063,2.165,3.299,4.472,5.726,-0.9978,0.6805,2.105,3.4,4.588,5.668,6.622,7.402,7.405,4.605,3.903,3.201,2.501,1.801
1.031,-1.795,-4.785,1.119,-0.5338,-2.138,-3.656,-5.015,2.059,1.063,nan,1.102,2.236,3.409,4.663,-2.061,-0.3827,1.041,2.337,3.525,4.605,5.559,6.339,6.341,3.542,2.84,2.138,1.438,0.7383
2.133,-0.6935,-3.683,2.221,0.5682,-1.036,-2.554,-3.913,3.161,2.165,1.102,nan,1.134,2.307,3.561,-3.163,-1.485,-0.06057,1.235,2.423,3.503,4.457,5.237,5.239,2.44,1.738,1.036,0.3357,-0.3637
3.266,0.4401,-2.55,3.355,1.702,0.09746,-1.421,-2.779,4.294,3.299,2.236,1.134,nan,1.174,2.428,-4.297,-2.618,-1.194,0.1016,1.29,2.369,3.323,4.103,4.106,1.307,0.6041,-0.0974,-0.7979,-1.497
4.44,1.614,-1.376,4.528,2.875,1.271,-0.2471,-1.606,5.468,4.472,3.409,2.307,1.174,nan,1.254,-5.47,-3.792,-2.368,-1.072,0.1162,1.196,2.149,2.93,2.932,0.1331,-0.5694,-1.271,-1.971,-2.671
