nan,3.870464133797213435e+00,3.168970156366412994e+00,2.468505731485493015e+00,1.769067462191742379e+00
1.746719804032181855e+00,1.044192836161528248e+00,3.426988587307278067e-01,-3.577655661501921713e-01,-1.057203835443942808e+00
-1.242979560629464686e+00,-1.945506533047591802e+00,-2.647000505930918735e+00,-3.347464935359312221e+00,nan
nan,nan,3.257364164710452314e+00,2.556899744377005845e+00,1.857461475083255209e+00
nan,2.305869388692372013e+00,1.604375406714098062e+00,9.039109863806515932e-01,2.044727170869009569e-01
1.404079253006784711e+00,7.015522896836046129e-01,5.830770533066242933e-05,-7.004061171755893156e-01,-1.399844386469339952e+00
-1.140040103564388119e-01,-8.165309782270924188e-01,-1.518024955657892860e+00,-2.218489375991339330e+00,nan
-1.472447411288158037e+00,-2.174974374611338135e+00,-2.876468356589612085e+00,nan,nan
nan,nan,nan,3.496296294542844407e+00,2.796858029796567280e+00
nan,nan,3.201325916961650364e+00,2.500861492080730386e+00,1.801423227334453259e+00
nan,2.839684602804481983e+00,2.138190620826208033e+00,1.437726200492761564e+00,7.382879311990109272e-01
2.440195848976145498e+00,1.737668881105491892e+00,1.036174903674691450e+00,3.357104787937714718e-01,-3.637277904999791645e-01
1.306620961258886382e+00,6.040939933882327750e-01,-9.739998404256766662e-02,-7.978644089234876446e-01,nan
1.331020530415116809e-01,-5.694249148291419260e-01,-1.270918892259942368e+00,nan,nan
-1.121105678976164199e+00,-1.823632646846817806e+00,nan,nan,nan
nan,nan,nan,nan,2.799248982228164095e+00
nan,nan,nan,1.820403367673861794e+00,1.120965098380111158e+00
nan,nan,1.096740415960084647e+00,3.962759865316911601e-01,-3.031622782145859674e-01
nan,5.025154177928925492e-01,-1.989785550904343836e-01,-8.994429845188278705e-01,-1.598881249265104998e+00
1.685236384219024330e-02,-6.856745994809898548e-01,-1.387168581459263805e+00,-2.087633001792710274e+00,-2.787071271086460911e+00
-1.062584246938058641e+00,-1.765111214808712248e+00,-2.466605192239512689e+00,-3.167069612572959159e+00,nan
-2.016377056861529127e+00,-2.718904020184709225e+00,-3.420397993068036158e+00,nan,nan
-2.796717444653040729e+00,-3.499244407976220828e+00,nan,nan,nan
-2.799248986775637604e+00,nan,nan,nan,nan
