2024-03-15 08:15:15, [59.488, 164.274, 64.414, 331.186, 85.497, 102.467, 432.014]
2024-04-04 15:26:19, [23.069, 58.996, 54.723, 64.217, 70.039, 73.166, 81.332]
2024-04-08 16:04:45, [24.476, 60.733, 21.142, 64.813, 24.246, 41.629, 80.641]
2024-04-09 12:53:04, [23.697, 60.009, 21.031, 61.661, 23.058, 42.94, 77.398]
2024-04-18 01:08:20, [51.886, 22.104, 18.495, 52.449, 21.616, 37.972, 74.052]
2024-04-18 12:10:36, [59.102, 24.396, 20.979, 62.911, 23.619, 45.136, 75.066]
2024-04-22 20:26:39, [64.169, 26.892, 21.079, 67.52, 25.058, 43.749, 81.812]
2024-04-23 11:39:29, [63.733, 24.888, 21.581, 63.158, 24.263, 45.455, 82.596]
2024-04-24 15:33:11, [57.935, 23.816, 20.965, 60.239, 23.461, 41.301, 78.15]
2024-04-26 00:36:33, [66.915, 27.634, 184.749, 57.174, 80.321, 22.608, 72.937]
2024-04-26 10:50:58, [60.653, 24.644, 21.664, 63.964, 24.204, 43.292, 80.421]
2024-05-06 13:01:12, [70.193, 28.954, 138.983, 93.788, 134.219, 33.126, 104.171]
2024-05-07 21:23:46, [61.968, 24.021, 81.91, 42.848, 56.987, 63.633, 71.737]
2024-05-15 22:53:02, [106.734, 23.482, 20.217, 36.491, 41.287, 31.999, 40.63]
2024-05-16 19:37:17, [119.088, 24.605, 21.058, 39.246, 46.252, 34.332, 44.865]
2024-05-21 15:52:08, [118.063, 23.76, 183.632, 54.509, 127.097, 42.427, 50.121]
2024-05-22 18:27:28, [118.838, 25.291, 22.214, 39.697, 47.972, 36.611, 47.133]
2024-05-23 17:37:12, [123.501, 26.203, 23.105, 41.098, 47.881, 37.274, 47.099]
2024-05-24 13:53:27, [110.88, 24.984, 21.795, 38.824, 45.762, 34.861, 44.672]
2024-05-27 14:43:21, [111.495, 23.494, 20.254, 36.416, 42.284, 31.458, 41.655]
2024-05-27 21:05:23, [113.371, 24.65, 21.246, 37.496, 45.354, 34.746, 43.903]
