-1.306736	-1.105973	-0.905505	-0.705331	-0.505450
-0.499004	-0.298242	-0.097774	0.102400	0.302282
0.355368	0.556131	0.756598	0.956773	1.156654
-1.332013	-1.131250	-0.930782	-0.730608	-0.530727
-0.859669	-0.658906	-0.458438	-0.258264	-0.058383
-0.401231	-0.200468	-0.000000	0.200174	0.400055
0.032593	0.233356	0.433824	0.633998	0.833879
0.420895	0.621658	0.822126	1.022300	1.222181
-1.600538	-1.399776	-1.199308	-0.999134	-0.799252
-1.316116	-1.115354	-0.914886	-0.714712	-0.514830
-1.012330	-0.811568	-0.611100	-0.410926	-0.211044
-0.697416	-0.496653	-0.296185	-0.096011	0.103870
-0.373463	-0.172700	0.027768	0.227942	0.427823
-0.038073	0.162690	0.363158	0.563332	0.763213
0.320396	0.521159	0.721627	0.921801	1.121682
-1.601223	-1.400461	-1.199993	-0.999819	-0.799937
-1.121617	-0.920854	-0.720386	-0.520212	-0.320331
-0.714666	-0.513904	-0.313436	-0.113262	0.086620
-0.344409	-0.143646	0.056822	0.256996	0.456877
-0.004871	0.195892	0.396360	0.596534	0.796415
0.303603	0.504365	0.704833	0.905007	1.104888
0.576190	0.776953	0.977421	1.177595	1.377476
0.799237	1.000000	1.200468	1.400642	1.600523
0.799963	1.000725	1.201193	1.401367	1.601249
