nan	-1.465497	-14.112709	-26.739204	nan
-39.483589	nan	nan	nan	nan
-93.443122	-106.111099	nan	nan	nan
nan	nan	59.063115	46.436539	33.830670
nan	nan	nan	nan	3.825087
25.315202	12.647219	nan	nan	-25.232465
-2.020289	nan	nan	nan	nan
-26.104622	nan	nan	nan	nan
nan	nan	nan	126.052211	nan
nan	nan	120.547888	107.921384	nan
nan	nan	101.274527	nan	nan
nan	94.029062	81.381884	nan	nan
86.323801	73.655870	nan	nan	nan
65.323513	52.655562	nan	nan	nan
42.956215	nan	nan	nan	nan
nan	nan	nan	nan	113.824505
nan	nan	nan	nan	83.402916
nan	nan	nan	70.164985	57.559001
nan	nan	59.299512	nan	34.066975
nan	nan	37.800591	25.174077	12.568145
nan	nan	18.333877	5.707291	nan
nan	13.869772	1.222506	nan	nan
nan	nan	nan	nan	nan
12.915695	nan	nan	nan	nan
