nan	739.277921	811.860699	900.103589	1009.687767
1013.602695	1155.443280	1343.118680	1338.650025	1152.605828
1111.571417	979.682890	875.908840	792.125335	nan
nan	nan	801.944233	887.930448	994.395306
nan	923.427592	1039.512840	1188.730009	1387.624873
1078.231088	1240.181143	1459.000000	1240.454511	1079.058079
1418.307208	1210.394360	1055.843703	936.447923	nan
1064.726694	943.112127	846.559290	nan	nan
nan	nan	nan	776.320958	856.495128
nan	nan	808.240965	895.656373	1004.095135
nan	851.138519	948.798984	1071.571474	1230.571109
904.140726	1015.319789	1157.436204	1345.490576	1336.618507
1098.170318	1266.633410	1424.013836	1215.073425	nan
1411.805815	1276.160720	1105.542589	nan	nan
1138.066894	1000.205922	nan	nan	nan
nan	nan	nan	nan	856.193418
nan	nan	nan	1000.787577	1138.129043
nan	nan	1143.581122	1326.803883	1355.584656
nan	1295.345499	1389.390666	1189.774880	1040.503482
1452.932346	1244.323124	1081.569088	956.628564	857.694829
1151.242951	1010.368878	900.357123	812.066953	nan
968.012223	866.434033	784.259093	nan	nan
856.495363	776.000000	nan	nan	nan
856.175949	nan	nan	nan	nan
